CI,Africa/Abidjan,Canonical,0,0,
UZ,Asia/Samarkand,Canonical,300,300,
KR,Asia/Seoul,Canonical,540,540,
CN,Asia/Shanghai,Canonical,480,480,
SG,Asia/Singapore,Canonical,480,480,
RU,Asia/Srednekolymsk,Canonical,660,660,
TW,Asia/Taipei,Canonical,480,480,
UZ,Asia/Tashkent,Canonical,300,300,
GE,Asia/Tbilisi,Canonical,240,240,
IR,Asia/Tehran,Canonical,210,270,
,Asia/Tel_Aviv,Alias,120,180,Asia/Jerusalem
,Asia/Thimbu,Alias,360,360,Asia/Thimphu
BT,Asia/Thimphu,Canonical,360,360,
JP,Asia/Tokyo,Canonical,540,540,
RU,Asia/Tomsk,Canonical,420,420,
,Asia/Ujung_Pandang,Alias,480,480,Asia/Makassar
MN,Asia/Ulaanbaatar,Canonical,480,480,
,Asia/Ulan_Bator,Alias,480,480,Asia/Ulaanbaatar
CN,Asia/Urumqi,Canonical,360,360,The Asia/Urumqi entry in the tz database reflected the use of Xinjiang Time by part of the local population. Consider using Asia/Shanghai for Beijing Time if that is preferred.
RU,Asia/Ust-Nera,Canonical,60,60,
LA,Asia/Vientiane,Alias,420,420,Asia/Bangkok
RU,Asia/Vladivostok,Canonical,60,60,
RU,Asia/Yakutsk,Canonical,540,540,
MM,Asia/Yangon,Canonical,390,390,
RU,Asia/Yekaterinburg,Canonical,300,300,
AM,Asia/Yerevan,Canonical,240,240,
PT,Atlantic/Azores,Canonical,-60,0,
BM,Atlantic/Bermuda,Canonical,-240,-180,
ES,Atlantic/Canary,Canonical,0,60,
CV,Atlantic/Cape_Verde,Canonical,-60,-60,
,Atlantic/Faeroe,Alias,0,60,Atlantic/Faroe
FO,Atlantic/Faroe,Canonical,0,60,
,Atlantic/Jan_Mayen,Alias,60,120,Europe/Oslo
PT,Atlantic/Madeira,Canonical,0,60,
IS,Atlantic/Reykjavik,Canonical,0,0,
GS,Atlantic/South_Georgia,Canonical,-120,-120,
SH,Atlantic/St_Helena,Alias,0,0,Africa/Abidjan
FK,Atlantic/Stanley,Canonical,-180,-180,
,Australia/ACT,Deprecated,60,660,Australia/Sydney
AU,Australia/Adelaide,Canonical,570,90,
AU,Australia/Brisbane,Canonical,60,60,
AU,Australia/Broken_Hill,Canonical,570,90,
,Australia/Canberra,Alias,60,660,Australia/Sydney
AU,Australia/Currie,Canonical,60,660,
AU,Australia/Darwin,Canonical,570,570,
AU,Australia/Eucla,Canonical,525,525,
AU,Australia/Hobart,Canonical,60,660,
,Australia/LHI,Deprecated,90,660,Australia/Lord_Howe
AU,Australia/Lindeman,Canonical,60,60,
AU,Australia/Lord_Howe,Canonical,90,660,This is the only time zone in the world that uses 30-minute DST transitions.
AU,Australia/Melbourne,Canonical,60,660,
,Australia/North,Deprecated,570,570,Australia/Darwin
,Australia/NSW,Deprecated,60,660,Australia/Sydney
AU,Australia/Perth,Canonical,480,480,
,Australia/Queensland,Deprecated,60,60,Australia/Brisbane
,Australia/South,Deprecated,570,90,Australia/Adelaide
AU,Australia/Sydney,Canonical,60,660,
,Australia/Tasmania,Deprecated,60,660,Australia/Hobart
,Australia/Victoria,Deprecated,60,660,Australia/Melbourne
,Australia/West,Deprecated,480,480,Australia/Perth
,Australia/Yancowinna,Alias,570,90,Australia/Broken_Hill
,Brazil/Acre,Deprecated,-300,-300,America/Rio_Branco
,Brazil/DeNoronha,Deprecated,-120,-120,America/Noronha
,Brazil/East,Deprecated,-180,-120,America/Sao_Paulo
,Brazil/West,Deprecated,-240,-240,America/Manaus
,Canada/Atlantic,Deprecated,-240,-180,America/Halifax
,Canada/Central,Deprecated,-360,-300,America/Winnipeg
,Canada/Eastern,Deprecated,-300,-240,America/Toronto
,Canada/Mountain,Deprecated,-420,-360,America/Edmonton
,Canada/Newfoundland,Deprecated,-150,-90,America/St_Johns
,Canada/Pacific,Deprecated,-480,-420,America/Vancouver
,Canada/Saskatchewan,Deprecated,-360,-360,America/Regina
,Canada/Yukon,Deprecated,-480,-420,America/Whitehorse
,CET,Deprecated,60,120,
,Chile/Continental,Deprecated,-240,-180,America/Santiago
,Chile/EasterIsland,Deprecated,-360,-300,Pacific/Easter
,CST6CDT,Deprecated,-360,-300,
,Cuba,Deprecated,-300,-240,America/Havana
,EET,Deprecated,120,180,
,Egypt,Deprecated,120,120,Africa/Cairo
,Eire,Deprecated,0,60,Europe/Dublin
,EST,Deprecated,-300,-300,
,EST5EDT,Deprecated,-300,-240,
,Etc/GMT,Canonical,0,0,
,Etc/GMT+0,Alias,0,0,Etc/GMT
,Etc/GMT+1,Canonical,-60,-60,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+10,Canonical,-60,-60,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+11,Canonical,-660,-660,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+12,Canonical,-720,-720,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+2,Canonical,-120,-120,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+3,Canonical,-180,-180,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+4,Canonical,-240,-240,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+5,Canonical,-300,-300,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+6,Canonical,-360,-360,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+7,Canonical,-420,-420,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+8,Canonical,-480,-480,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT+9,Canonical,-540,-540,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT0,Alias,0,0,Etc/GMT
,Etc/GMT-0,Alias,0,0,Etc/GMT
,Etc/GMT-1,Canonical,60,60,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-10,Canonical,60,60,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-11,Canonical,660,660,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-12,Canonical,720,720,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-13,Canonical,780,780,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-14,Canonical,840,840,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-2,Canonical,120,120,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-3,Canonical,180,180,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-4,Canonical,240,240,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-5,Canonical,300,300,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-6,Canonical,360,360,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-7,Canonical,420,420,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-8,Canonical,480,480,Sign is intentionally inverted. See the Etc area description.
,Etc/GMT-9,Canonical,540,540,Sign is intentionally inverted. See the Etc area description.
,Etc/Greenwich,Deprecated,0,0,Etc/GMT
,Etc/UCT,Deprecated,0,0,
,Etc/Universal,Deprecated,0,0,Etc/UTC
,Etc/UTC,Canonical,0,0,
,Etc/Zulu,Deprecated,0,0,Etc/UTC
NL,Europe/Amsterdam,Canonical,60,120,
AD,Europe/Andorra,Canonical,60,120,
RU,Europe/Astrakhan,Canonical,240,240,
GR,Europe/Athens,Canonical,120,180,
,Europe/Belfast,Alias,0,60,Europe/London
RS,Europe/Belgrade,Canonical,60,120,
DE,Europe/Berlin,Canonical,60,120,"In 1945, the Trizone did not follow Berlin's switch to DST, see Time in Germany"
SK,Europe/Bratislava,Alias,60,120,Europe/Prague
BE,Europe/Brussels,Canonical,60,120,
RO,Europe/Bucharest,Canonical,120,180,
HU,Europe/Budapest,Canonical,60,120,
DE,Europe/Busingen,Alias,60,120,Europe/Zurich
MD,Europe/Chisinau,Canonical,120,180,
DK,Europe/Copenhagen,Canonical,60,120,
IE,Europe/Dublin,Canonical,0,60,
GI,Europe/Gibraltar,Canonical,60,120,
GG,Europe/Guernsey,Alias,0,60,Europe/London
FI,Europe/Helsinki,Canonical,120,180,
IM,Europe/Isle_of_Man,Alias,0,60,Europe/London
TR,Europe/Istanbul,Canonical,180,180,
JE,Europe/Jersey,Alias,0,60,Europe/London
RU,Europe/Kaliningrad,Canonical,120,120,
UA,Europe/Kiev,Canonical,120,180,
RU,Europe/Kirov,Canonical,180,180,
PT,Europe/Lisbon,Canonical,0,60,
SI,Europe/Ljubljana,Alias,60,120,Europe/Belgrade
GB,Europe/London,Canonical,0,60,
LU,Europe/Luxembourg,Canonical,60,120,
ES,Europe/Madrid,Canonical,60,120,
MT,Europe/Malta,Canonical,60,120,
AX,Europe/Mariehamn,Alias,120,180,Europe/Helsinki
BY,Europe/Minsk,Canonical,180,180,
MC,Europe/Monaco,Canonical,60,120,
RU,Europe/Moscow,Canonical,180,180,
CY,Europe/Nicosia,Canonical,120,180,
NO,Europe/Oslo,Canonical,60,120,
FR,Europe/Paris,Canonical,60,120,
ME,Europe/Podgorica,Alias,60,120,Europe/Belgrade
CZ,Europe/Prague,Canonical,60,120,
LV,Europe/Riga,Canonical,120,180,
IT,Europe/Rome,Canonical,60,120,
RU,Europe/Samara,Canonical,240,240,
SM,Europe/San_Marino,Alias,60,120,Europe/Rome
BA,Europe/Sarajevo,Alias,60,120,Europe/Belgrade
RU,Europe/Saratov,Canonical,240,240,
UA,Europe/Simferopol,Canonical,180,180,Disputed - Reflects data in the TZDB.[note 2]
MK,Europe/Skopje,Alias,60,120,Europe/Belgrade
BG,Europe/Sofia,Canonical,120,180,
SE,Europe/Stockholm,Canonical,60,120,
EE,Europe/Tallinn,Canonical,120,180,
AL,Europe/Tirane,Canonical,60,120,
,Europe/Tiraspol,Alias,120,180,Europe/Chisinau
RU,Europe/Ulyanovsk,Canonical,240,240,
UA,Europe/Uzhgorod,Canonical,120,180,
LI,Europe/Vaduz,Alias,60,120,Europe/Zurich
VA,Europe/Vatican,Alias,60,120,Europe/Rome
AT,Europe/Vienna,Canonical,60,120,
LT,Europe/Vilnius,Canonical,120,180,
RU,Europe/Volgograd,Canonical,180,180,
PL,Europe/Warsaw,Canonical,60,120,
HR,Europe/Zagreb,Alias,60,120,Europe/Belgrade
UA,Europe/Zaporozhye,Canonical,120,180,
CH,Europe/Zurich,Canonical,60,120,
,GB,Deprecated,0,60,Europe/London
,GB-Eire,Deprecated,0,60,Europe/London
,GMT,Alias,0,0,Etc/GMT
,GMT+0,Deprecated,0,0,Etc/GMT
,GMT0,Deprecated,0,0,Etc/GMT
,GMTâˆ’0,Deprecated,0,0,Etc/GMT
,Greenwich,Deprecated,0,0,Etc/GMT
,Hongkong,Deprecated,480,480,Asia/Hong_Kong
,HST,Deprecated,-60,-60,
,Iceland,Deprecated,0,0,Atlantic/Reykjavik
MG,Indian/Antananarivo,Alias,180,180,Africa/Nairobi
IO,Indian/Chagos,Canonical,360,360,
CX,Indian/Christmas,Canonical,420,420,
CC,Indian/Cocos,Canonical,390,390,
KM,Indian/Comoro,Alias,180,180,Africa/Nairobi
TF,Indian/Kerguelen,Canonical,300,300,
SC,Indian/Mahe,Canonical,240,240,
MV,Indian/Maldives,Canonical,300,300,
MU,Indian/Mauritius,Canonical,240,240,
YT,Indian/Mayotte,Alias,180,180,Africa/Nairobi
RE,Indian/Reunion,Canonical,240,240,
,Iran,Deprecated,210,270,Asia/Tehran
,Israel,Deprecated,120,180,Asia/Jerusalem
,Jamaica,Deprecated,-300,-300,America/Jamaica
,Japan,Deprecated,540,540,Asia/Tokyo
,Kwajalein,Deprecated,720,720,Pacific/Kwajalein
,Libya,Deprecated,120,120,Africa/Tripoli
,MET,Deprecated,60,120,
,Mexico/BajaNorte,Deprecated,-480,-420,America/Tijuana
,Mexico/BajaSur,Deprecated,-420,-360,America/Mazatlan
,Mexico/General,Deprecated,-360,-300,America/Mexico_City
,MST,Deprecated,-420,-420,
,MST7MDT,Deprecated,-420,-360,
,Navajo,Deprecated,-420,-360,America/Denver
,NZ,Deprecated,720,780,Pacific/Auckland
,NZ-CHAT,Deprecated,765,825,Pacific/Chatham
WS,Pacific/Apia,Canonical,780,840,
NZ,Pacific/Auckland,Canonical,720,780,
PG,Pacific/Bougainville,Canonical,660,660,
NZ,Pacific/Chatham,Canonical,765,825,
FM,Pacific/Chuuk,Canonical,60,60,
CL,Pacific/Easter,Canonical,-360,-300,
VU,Pacific/Efate,Canonical,660,660,
KI,Pacific/Enderbury,Canonical,780,780,
TK,Pacific/Fakaofo,Canonical,780,780,
FJ,Pacific/Fiji,Canonical,720,780,
TV,Pacific/Funafuti,Canonical,720,720,
EC,Pacific/Galapagos,Canonical,-360,-360,
PF,Pacific/Gambier,Canonical,-540,-540,
SB,Pacific/Guadalcanal,Canonical,660,660,
GU,Pacific/Guam,Canonical,60,60,
US,Pacific/Honolulu,Canonical,-60,-60,
,Pacific/Johnston,Alias,-60,-60,Pacific/Honolulu
KI,Pacific/Kiritimati,Canonical,840,840,
FM,Pacific/Kosrae,Canonical,660,660,
MH,Pacific/Kwajalein,Canonical,720,720,
MH,Pacific/Majuro,Canonical,720,720,
PF,Pacific/Marquesas,Canonical,-510,-510,
UM,Pacific/Midway,Alias,-660,-660,Pacific/Pago_Pago
NR,Pacific/Nauru,Canonical,720,720,
NU,Pacific/Niue,Canonical,-660,-660,
NF,Pacific/Norfolk,Canonical,660,660,
NC,Pacific/Noumea,Canonical,660,660,
AS,Pacific/Pago_Pago,Canonical,-660,-660,
PW,Pacific/Palau,Canonical,540,540,
PN,Pacific/Pitcairn,Canonical,-480,-480,
FM,Pacific/Pohnpei,Canonical,660,660,
,Pacific/Ponape,Alias,660,660,Pacific/Pohnpei
PG,Pacific/Port_Moresby,Canonical,60,60,
CK,Pacific/Rarotonga,Canonical,-60,-60,
MP,Pacific/Saipan,Alias,60,60,Pacific/Guam
,Pacific/Samoa,Alias,-660,-660,Pacific/Pago_Pago
PF,Pacific/Tahiti,Canonical,-60,-60,
KI,Pacific/Tarawa,Canonical,720,720,
TO,Pacific/Tongatapu,Canonical,780,840,
,Pacific/Truk,Alias,60,60,Pacific/Chuuk
UM,Pacific/Wake,Canonical,720,720,
WF,Pacific/Wallis,Canonical,720,720,
,Pacific/Yap,Alias,60,60,Pacific/Chuuk
,Poland,Deprecated,60,120,Europe/Warsaw
,Portugal,Deprecated,0,60,Europe/Lisbon
,PRC,Deprecated,480,480,Asia/Shanghai
,PST8PDT,Deprecated,-480,-420,
,ROC,Deprecated,480,480,Asia/Taipei
,ROK,Deprecated,540,540,Asia/Seoul
,Singapore,Deprecated,480,480,Asia/Singapore
,Turkey,Deprecated,180,180,Europe/Istanbul
,UCT,Deprecated,0,0,Etc/UCT
,Universal,Deprecated,0,0,Etc/UTC
,US/Alaska,Deprecated,-540,-480,America/Anchorage
,US/Aleutian,Deprecated,-60,-540,America/Adak
,US/Arizona,Deprecated,-420,-420,America/Phoenix
,US/Central,Deprecated,-360,-300,America/Chicago
,US/Eastern,Deprecated,-300,-240,America/New_York
,US/East-Indiana,Deprecated,-300,-240,America/Indiana/Indianapolis
,US/Hawaii,Deprecated,-60,-60,Pacific/Honolulu
,US/Indiana-Starke,Deprecated,-360,-300,America/Indiana/Knox
,US/Michigan,Deprecated,-300,-240,America/Detroit
,US/Mountain,Deprecated,-420,-360,America/Denver
,US/Pacific,Deprecated,-480,-420,America/Los_Angeles
,US/Pacific-New,Deprecated,-480,-420,America/Los_Angeles
,US/Samoa,Deprecated,-660,-660,Pacific/Pago_Pago
,UTC,Alias,0,0,Etc/UTC
,WET,Deprecated,0,60,
,W-SU,Deprecated,180,180,Europe/Moscow
,Zulu,Deprecated,0,0,Etc/UTC