Africa/Abidjan,Canonical
Africa/Accra,Canonical
Africa/Addis_Ababa,Alias
Africa/Algiers,Canonical
Africa/Asmara,Alias
Africa/Bamako,Alias 
Africa/Bangui,Alias
Africa/Banjul,Alias
Africa/Bissau,Canonical
Africa/Blantyre,Alias
Africa/Brazzaville,Alias
Africa/Bujumbura,Alias
Africa/Cairo,Canonical
Africa/Casablanca,Canonical
Africa/Ceuta,Canonical
Africa/Conakry,Alias
Africa/Dakar,Alias
Africa/Dar_es_Salaam,Alias
Africa/Djibouti,Alias
Africa/Douala,Alias
Africa/El_Aaiun,Canonical
Africa/Freetown,Alias
Africa/Gaborone,Alias
Africa/Harare,Alias
Africa/Johannesburg,Canonical
Africa/Juba,Canonical
Africa/Kampala,Alias
Africa/Khartoum,Canonical
Africa/Kigali,Alias
Africa/Kinshasa,Alias
Africa/Lagos,Canonical
Africa/Libreville,Alias
Africa/Lome,Alias
Africa/Luanda,Alias
Africa/Lubumbashi,Alias
Africa/Lusaka,Alias
Africa/Malabo,Alias
Africa/Maputo,Canonical
Africa/Maseru,Alias
Africa/Mbabane,Alias
Africa/Mogadishu,Alias
Africa/Monrovia,Canonical
Africa/Nairobi,Canonical
Africa/Ndjamena,Canonical
Africa/Niamey,Alias
Africa/Nouakchott,Alias
Africa/Ouagadougou,Alias
Africa/Porto-Novo,Alias
Africa/Sao_Tome,Alias
Africa/Timbuktu,Alias
Africa/Tripoli,Canonical
Africa/Tunis,Canonical
Africa/Windhoek,Canonical
America/Adak,Canonical
America/Anchorage,Canonical
America/Anguilla,Alias
America/Antigua,Alias
America/Araguaina,Canonical
America/Argentina/Buenos_Aires,Canonical
America/Argentina/Catamarca,Canonical
America/Argentina/ComodRivadavia,Alias
America/Argentina/Cordoba,Canonical
America/Argentina/Jujuy,Canonical
America/Argentina/La_Rioja,Canonical
America/Argentina/Mendoza,Canonical
America/Argentina/Rio_Gallegos,Canonical
America/Argentina/Salta,Canonical
America/Argentina/San_Juan,Canonical
America/Argentina/San_Luis,Canonical
America/Argentina/Tucuman,Canonical
America/Argentina/Ushuaia,Canonical
America/Aruba,Alias
America/Asuncion,Canonical
America/Atikokan,Canonical
America/Atka,Alias
America/Bahia,Canonical
America/Bahia_Banderas,Canonical
America/Barbados,Canonical
America/Belem,Canonical
America/Belize,Canonical
America/Blanc-Sablon,Canonical
America/Boa_Vista,Canonical
America/Bogota,Canonical
America/Boise,Canonical
America/Buenos_Aires,Alias
America/Cambridge_Bay,Canonical
America/Campo_Grande,Canonical
America/Cancun,Canonical
America/Caracas,Canonical
America/Catamarca,Alias
America/Cayenne,Canonical
America/Cayman,Alias
America/Chicago,Canonical
America/Chihuahua,Canonical
America/Coral_Harbour,Alias
America/Cordoba,Alias
America/Costa_Rica,Canonical
America/Creston,Canonical
America/Cuiaba,Canonical
America/Curacao,Canonical
America/Danmarkshavn,Canonical
America/Dawson,Canonical
America/Dawson_Creek,Canonical
America/Denver,Canonical
America/Detroit,Canonical
America/Dominica,Alias
America/Edmonton,Canonical
America/Eirunepe,Canonical
America/El_Salvador,Canonical
America/Ensenada,Alias
America/Fort_Nelson,Canonical
America/Fort_Wayne,Alias
America/Fortaleza,Canonical
America/Glace_Bay,Canonical
America/Godthab,Canonical
America/Goose_Bay,Canonical
America/Grand_Turk,Canonical
America/Grenada,Alias
America/Guadeloupe,Alias
America/Guatemala,Canonical
America/Guayaquil,Canonical
America/Guyana,Canonical
America/Halifax,Canonical
America/Havana,Canonical
America/Hermosillo,Canonical
America/Indiana/Indianapolis,Canonical
America/Indiana/Knox,Canonical
America/Indiana/Marengo,Canonical
America/Indiana/Petersburg,Canonical
America/Indiana/Tell_City,Canonical
America/Indiana/Vevay,Canonical
America/Indiana/Vincennes,Canonical
America/Indiana/Winamac,Canonical
America/Indianapolis,Alias
America/Inuvik,Canonical
America/Iqaluit,Canonical
America/Jamaica,Canonical
America/Jujuy,Alias
America/Juneau,Canonical
America/Kentucky/Louisville,Canonical
America/Kentucky/Monticello,Canonical
America/Knox_IN,Alias
America/Kralendijk,Alias
America/La_Paz,Canonical
America/Lima,Canonical
America/Los_Angeles,Canonical
America/Louisville,Alias
America/Lower_Princes,Alias
America/Maceio,Canonical
America/Managua,Canonical
America/Manaus,Canonical
America/Marigot,Alias
America/Martinique,Canonical
America/Matamoros,Canonical
America/Mazatlan,Canonical
America/Mendoza,Alias
America/Menominee,Canonical
America/Merida,Canonical
America/Metlakatla,Canonical
America/Mexico_City,Canonical
America/Miquelon,Canonical
America/Moncton,Canonical
America/Monterrey,Canonical
America/Montevideo,Canonical
America/Montreal,Alias
America/Montserrat,Alias
America/Nassau,Canonical
America/New_York,Canonical
America/Nipigon,Canonical
America/Nome,Canonical
America/Noronha,Canonical
America/North_Dakota/Beulah,Canonical
America/North_Dakota/Center,Canonical
America/North_Dakota/New_Salem,Canonical
America/Ojinaga,Canonical
America/Panama,Canonical
America/Pangnirtung,Canonical
America/Paramaribo,Canonical
America/Phoenix,Canonical
America/Port_of_Spain,Canonical
America/Port-au-Prince,Canonical
America/Porto_Acre,Alias
America/Porto_Velho,Canonical
America/Puerto_Rico,Canonical
America/Punta_Arenas,Canonical
America/Rainy_River,Canonical
America/Rankin_Inlet,Canonical
America/Recife,Canonical
America/Regina,Canonical
America/Resolute,Canonical
America/Rio_Branco,Canonical
America/Rosario,Alias
America/Santa_Isabel,Alias
America/Santarem,Canonical
America/Santiago,Canonical
America/Santo_Domingo,Canonical
America/Sao_Paulo,Canonical
America/Scoresbysund,Canonical
America/Shiprock,Alias
America/Sitka,Canonical
America/St_Barthelemy,Alias
America/St_Johns,Canonical
America/St_Kitts,Alias
America/St_Lucia,Alias
America/St_Thomas,Alias
America/St_Vincent,Alias
America/Swift_Current,Canonical
America/Tegucigalpa,Canonical
America/Thule,Canonical
America/Thunder_Bay,Canonical
America/Tijuana,Canonical
America/Toronto,Canonical
America/Tortola,Alias
America/Vancouver,Canonical
America/Virgin,Alias
America/Whitehorse,Canonical
America/Winnipeg,Canonical
America/Yakutat,Canonical
America/Yellowknife,Canonical
Antarctica/Casey,Canonical
Antarctica/Davis,Canonical
Antarctica/DumontDUrville,Canonical
Antarctica/Macquarie,Canonical
Antarctica/Mawson,Canonical
Antarctica/McMurdo,Alias
Antarctica/Palmer,Canonical
Antarctica/Rothera,Canonical
Antarctica/South_Pole,Alias
Antarctica/Syowa,Canonical
Antarctica/Troll,Canonical
Antarctica/Vostok,Canonical
Arctic/Longyearbyen,Alias
Asia/Aden,Alias
Asia/Almaty,Canonical
Asia/Amman,Canonical
Asia/Anadyr,Canonical
Asia/Aqtau,Canonical
Asia/Aqtobe,Canonical
Asia/Ashgabat,Canonical
Asia/Ashkhabad,Alias
Asia/Atyrau,Canonical
Asia/Baghdad,Canonical
Asia/Bahrain,Alias
Asia/Baku,Canonical
Asia/Bangkok,Canonical
Asia/Barnaul,Canonical
Asia/Beirut,Canonical
Asia/Bishkek,Canonical
Asia/Brunei,Canonical
Asia/Calcutta,Alias
Asia/Chita,Canonical
Asia/Choibalsan,Canonical
Asia/Chongqing,Alias
Asia/Chungking,Alias
Asia/Colombo,Canonical
Asia/Dacca,Alias
Asia/Damascus,Canonical
Asia/Dhaka,Canonical
Asia/Dili,Canonical
Asia/Dubai,Canonical
Asia/Dushanbe,Canonical
Asia/Famagusta,Canonical
Asia/Gaza,Canonical
Asia/Harbin,Alias
Asia/Hebron,Canonical
Asia/Ho_Chi_Minh,Canonical
Asia/Hong_Kong,Canonical
Asia/Hovd,Canonical
Asia/Irkutsk,Canonical
Asia/Istanbul,Alias
Asia/Jakarta,Canonical
Asia/Jayapura,Canonical
Asia/Jerusalem,Canonical
Asia/Kabul,Canonical
Asia/Kamchatka,Canonical
Asia/Karachi,Canonical
Asia/Kashgar,Alias
Asia/Kathmandu,Canonical
Asia/Katmandu,Alias
Asia/Khandyga,Canonical
Asia/Kolkata,Canonical
Asia/Krasnoyarsk,Canonical
Asia/Kuala_Lumpur,Canonical
Asia/Kuching,Canonical
Asia/Kuwait,Alias
Asia/Macao,Alias
Asia/Macau,Canonical
Asia/Magadan,Canonical
Asia/Makassar,Canonical
Asia/Manila,Canonical
Asia/Muscat,Alias
Asia/Novokuznetsk,Canonical
Asia/Novosibirsk,Canonical
Asia/Omsk,Canonical
Asia/Oral,Canonical
Asia/Phnom_Penh,Alias
Asia/Pontianak,Canonical
Asia/Pyongyang,Canonical
Asia/Qatar,Canonical
Asia/Qyzylorda,Canonical
Asia/Rangoon,Alias
Asia/Riyadh,Canonical
Asia/Saigon,Alias
Asia/Sakhalin,Canonical
Asia/Samarkand,Canonical
Asia/Seoul,Canonical
Asia/Shanghai,Canonical
Asia/Singapore,Canonical
Asia/Srednekolymsk,Canonical
Asia/Taipei,Canonical
Asia/Tashkent,Canonical
Asia/Tbilisi,Canonical
Asia/Tehran,Canonical
Asia/Tel_Aviv,Alias
Asia/Thimbu,Alias
Asia/Thimphu,Canonical
Asia/Tokyo,Canonical
Asia/Tomsk,Canonical
Asia/Ujung_Pandang,Alias
Asia/Ulaanbaatar,Canonical
Asia/Ulan_Bator,Alias
Asia/Urumqi,Canonical
Asia/Ust-Nera,Canonical
Asia/Vientiane,Alias
Asia/Vladivostok,Canonical
Asia/Yakutsk,Canonical
Asia/Yangon,Canonical
Asia/Yekaterinburg,Canonical
Asia/Yerevan,Canonical
Atlantic/Azores,Canonical
Atlantic/Bermuda,Canonical
Atlantic/Canary,Canonical
Atlantic/Cape_Verde,Canonical
Atlantic/Faeroe,Alias
Atlantic/Faroe,Canonical
Atlantic/Jan_Mayen,Alias
Atlantic/Madeira,Canonical
Atlantic/Reykjavik,Canonical
Atlantic/South_Georgia,Canonical
Atlantic/St_Helena,Alias
Atlantic/Stanley,Canonical
Australia/ACT,Deprecated
Australia/Adelaide,Canonical
Australia/Brisbane,Canonical
Australia/Broken_Hill,Canonical
Australia/Canberra,Alias
Australia/Currie,Canonical
Australia/Darwin,Canonical
Australia/Eucla,Canonical
Australia/Hobart,Canonical
Australia/LHI,Deprecated
Australia/Lindeman,Canonical
Australia/Lord_Howe,Canonical
Australia/Melbourne,Canonical
Australia/North,Deprecated
Australia/NSW,Deprecated
Australia/Perth,Canonical
Australia/Queensland,Deprecated
Australia/South,Deprecated
Australia/Sydney,Canonical
Australia/Tasmania,Deprecated
Australia/Victoria,Deprecated
Australia/West,Deprecated
Australia/Yancowinna,Alias
Brazil/Acre,Deprecated
Brazil/DeNoronha,Deprecated
Brazil/East,Deprecated
Brazil/West,Deprecated
Canada/Atlantic,Deprecated
Canada/Central,Deprecated
Canada/Eastern,Deprecated
Canada/Mountain,Deprecated
Canada/Newfoundland,Deprecated
Canada/Pacific,Deprecated
Canada/Saskatchewan,Deprecated
Canada/Yukon,Deprecated
CET,Deprecated
Chile/Continental,Deprecated
Chile/EasterIsland,Deprecated
CST6CDT,Deprecated
Cuba,Deprecated
EET,Deprecated
Egypt,Deprecated
Eire,Deprecated
EST,Deprecated
EST5EDT,Deprecated
Etc/GMT,Canonical
Etc/GMT+0,Alias
Etc/GMT+1,Canonical
Etc/GMT+10,Canonical
Etc/GMT+11,Canonical
Etc/GMT+12,Canonical
Etc/GMT+2,Canonical
Etc/GMT+3,Canonical
Etc/GMT+4,Canonical
Etc/GMT+5,Canonical
Etc/GMT+6,Canonical
Etc/GMT+7,Canonical
Etc/GMT+8,Canonical
Etc/GMT+9,Canonical
Etc/GMT0,Alias
Etc/GMT-0,Alias
Etc/GMT-1,Canonical
Etc/GMT-10,Canonical
Etc/GMT-11,Canonical
Etc/GMT-12,Canonical
Etc/GMT-13,Canonical
Etc/GMT-14,Canonical
Etc/GMT-2,Canonical
Etc/GMT-3,Canonical
Etc/GMT-4,Canonical
Etc/GMT-5,Canonical
Etc/GMT-6,Canonical
Etc/GMT-7,Canonical
Etc/GMT-8,Canonical
Etc/GMT-9,Canonical
Etc/Greenwich,Deprecated
Etc/UCT,Deprecated
Etc/Universal,Deprecated
Etc/UTC,Canonical
Etc/Zulu,Deprecated
Europe/Amsterdam,Canonical
Europe/Andorra,Canonical
Europe/Astrakhan,Canonical
Europe/Athens,Canonical
Europe/Belfast,Alias
Europe/Belgrade,Canonical
Europe/Berlin,Canonical
Europe/Bratislava,Alias
Europe/Brussels,Canonical
Europe/Bucharest,Canonical
Europe/Budapest,Canonical
Europe/Busingen,Alias
Europe/Chisinau,Canonical
Europe/Copenhagen,Canonical
Europe/Dublin,Canonical
Europe/Gibraltar,Canonical
Europe/Guernsey,Alias
Europe/Helsinki,Canonical
Europe/Isle_of_Man,Alias
Europe/Istanbul,Canonical
Europe/Jersey,Alias
Europe/Kaliningrad,Canonical
Europe/Kiev,Canonical
Europe/Kirov,Canonical
Europe/Lisbon,Canonical
Europe/Ljubljana,Alias
Europe/London,Canonical
Europe/Luxembourg,Canonical
Europe/Madrid,Canonical
Europe/Malta,Canonical
Europe/Mariehamn,Alias
Europe/Minsk,Canonical
Europe/Monaco,Canonical
Europe/Moscow,Canonical
Europe/Nicosia,Canonical
Europe/Oslo,Canonical
Europe/Paris,Canonical
Europe/Podgorica,Alias
Europe/Prague,Canonical
Europe/Riga,Canonical
Europe/Rome,Canonical
Europe/Samara,Canonical
Europe/San_Marino,Alias
Europe/Sarajevo,Alias
Europe/Saratov,Canonical
Europe/Simferopol,Canonical
Europe/Skopje,Alias
Europe/Sofia,Canonical
Europe/Stockholm,Canonical
Europe/Tallinn,Canonical
Europe/Tirane,Canonical
Europe/Tiraspol,Alias
Europe/Ulyanovsk,Canonical
Europe/Uzhgorod,Canonical
Europe/Vaduz,Alias
Europe/Vatican,Alias
Europe/Vienna,Canonical
Europe/Vilnius,Canonical
Europe/Volgograd,Canonical
Europe/Warsaw,Canonical
Europe/Zagreb,Alias
Europe/Zaporozhye,Canonical
Europe/Zurich,Canonical
GB,Deprecated
GB-Eire,Deprecated
GMT,Alias
GMT+0,Deprecated
GMT0,Deprecated
GMTâˆ’0,Deprecated
Greenwich,Deprecated
Hongkong,Deprecated
HST,Deprecated
Iceland,Deprecated
Indian/Antananarivo,Alias
Indian/Chagos,Canonical
Indian/Christmas,Canonical
Indian/Cocos,Canonical
Indian/Comoro,Alias
Indian/Kerguelen,Canonical
Indian/Mahe,Canonical
Indian/Maldives,Canonical
Indian/Mauritius,Canonical
Indian/Mayotte,Alias
Indian/Reunion,Canonical
Iran,Deprecated
Israel,Deprecated
Jamaica,Deprecated
Japan,Deprecated
Kwajalein,Deprecated
Libya,Deprecated
MET,Deprecated
Mexico/BajaNorte,Deprecated
Mexico/BajaSur,Deprecated
Mexico/General,Deprecated
MST,Deprecated
MST7MDT,Deprecated
Navajo,Deprecated
NZ,Deprecated
NZ-CHAT,Deprecated
Pacific/Apia,Canonical
Pacific/Auckland,Canonical
Pacific/Bougainville,Canonical
Pacific/Chatham,Canonical
Pacific/Chuuk,Canonical
Pacific/Easter,Canonical
Pacific/Efate,Canonical
Pacific/Enderbury,Canonical
Pacific/Fakaofo,Canonical
Pacific/Fiji,Canonical
Pacific/Funafuti,Canonical
Pacific/Galapagos,Canonical
Pacific/Gambier,Canonical
Pacific/Guadalcanal,Canonical
Pacific/Guam,Canonical
Pacific/Honolulu,Canonical
Pacific/Johnston,Alias
Pacific/Kiritimati,Canonical
Pacific/Kosrae,Canonical
Pacific/Kwajalein,Canonical
Pacific/Majuro,Canonical
Pacific/Marquesas,Canonical
Pacific/Midway,Alias
Pacific/Nauru,Canonical
Pacific/Niue,Canonical
Pacific/Norfolk,Canonical
Pacific/Noumea,Canonical
Pacific/Pago_Pago,Canonical
Pacific/Palau,Canonical
Pacific/Pitcairn,Canonical
Pacific/Pohnpei,Canonical
Pacific/Ponape,Alias
Pacific/Port_Moresby,Canonical
Pacific/Rarotonga,Canonical
Pacific/Saipan,Alias
Pacific/Samoa,Alias
Pacific/Tahiti,Canonical
Pacific/Tarawa,Canonical
Pacific/Tongatapu,Canonical
Pacific/Truk,Alias
Pacific/Wake,Canonical
Pacific/Wallis,Canonical
Pacific/Yap,Alias
Poland,Deprecated
Portugal,Deprecated
PRC,Deprecated
PST8PDT,Deprecated
ROC,Deprecated
ROK,Deprecated
Singapore,Deprecated
Turkey,Deprecated
UCT,Deprecated
Universal,Deprecated
US/Alaska,Deprecated
US/Aleutian,Deprecated
US/Arizona,Deprecated
US/Central,Deprecated
US/Eastern,Deprecated
US/East-Indiana,Deprecated
US/Hawaii,Deprecated
US/Indiana-Starke,Deprecated
US/Michigan,Deprecated
US/Mountain,Deprecated
US/Pacific,Deprecated
US/Pacific-New,Deprecated
US/Samoa,Deprecated
UTC,Alias
WET,Deprecated
W-SU,Deprecated
Zulu,Deprecated